,gene_id,database,kegg_id
393,blr0384,KEGG_orth,-
394,blr0385,KEGG_orth,-
395,bll0386,KEGG_orth,-
397,bll0389,KEGG_orth,-
402,bll0394,KEGG_orth,-
403,blr0395,KEGG_orth,-
404,blr0396,KEGG_orth,-
405,blr0397,KEGG_orth,-
406,bsr0398,KEGG_orth,-
407,bll0399,KEGG_orth,-
408,blr0400,KEGG_orth,-
409,blr0401,KEGG_orth,-
410,blr0402,KEGG_orth,-
411,bll0403,KEGG_orth,-
412,blr0404,KEGG_orth,-
413,bll0405,KEGG_orth,-
414,bll0406,KEGG_orth,-
415,blr0407,KEGG_orth,-
416,bll0408,KEGG_orth,-
417,bll0409,KEGG_orth,-
418,blr0410,KEGG_orth,-
425,bll0417,KEGG_orth,-
426,blr0418,KEGG_orth,-
427,bll0419,KEGG_orth,-
430,blr0422,KEGG_orth,-
432,blr0424,KEGG_orth,-
434,blr0426,KEGG_orth,-
435,bll0427,KEGG_orth,-
441,blr0433,KEGG_orth,-
456,blr0447,KEGG_orth,-
457,bll0448,KEGG_orth,-
463,bll0454,KEGG_orth,-
473,bll0464,KEGG_orth,-
474,bll0465,KEGG_orth,-
484,blr0475,KEGG_orth,-
487,blr0478,KEGG_orth,-
489,bll0480,KEGG_orth,-
494,blr0485,KEGG_orth,-
498,bll0489,KEGG_orth,-
499,blr0490,KEGG_orth,-
500,bll0491,KEGG_orth,-
501,blr0492,KEGG_orth,-
502,bll0493,KEGG_orth,-
505,blr0496,KEGG_orth,-
506,blr0497,KEGG_orth,-
512,blr0502,KEGG_orth,-
514,blr0503,KEGG_orth,-
515,bll0505,KEGG_orth,-
516,bll0506,KEGG_orth,-
517,bll0507,KEGG_orth,-
518,bll0508,KEGG_orth,-
521,blr0511,KEGG_orth,-
528,blr0518,KEGG_orth,-
529,blr0519,KEGG_orth,-
530,bsr0520,KEGG_orth,-
531,blr0521,KEGG_orth,-
534,bll0524,KEGG_orth,-
536,bll0526,KEGG_orth,-
537,bll0527,KEGG_orth,-
540,blr0529,KEGG_orth,-
542,bll0531,KEGG_orth,-
544,blr0533,KEGG_orth,-
546,bll0535,KEGG_orth,-
547,blr0536,KEGG_orth,-
548,blr0537,KEGG_orth,-
550,bsr0539,KEGG_orth,-
554,bll0543,KEGG_orth,-
555,bll0544,KEGG_orth,-
556,bll0545,KEGG_orth,-
557,bll0546,KEGG_orth,-
558,blr0547,KEGG_orth,-
563,bll0552,KEGG_orth,-
566,bll0555,KEGG_orth,-
567,bll0556,KEGG_orth,-
569,bll0558,KEGG_orth,-
570,blr0559,KEGG_orth,-
571,bsl0560,KEGG_orth,-
572,bll0561,KEGG_orth,-
573,blr0562,KEGG_orth,-
574,bll0563,KEGG_orth,-
576,bll0565,KEGG_orth,-
580,blr0569,KEGG_orth,-
582,blr0571,KEGG_orth,-
585,blr0574,KEGG_orth,-
586,bll0575,KEGG_orth,-
588,blr0577,KEGG_orth,-
589,bsl0578,KEGG_orth,-
591,blr0580,KEGG_orth,-
595,blr0584,KEGG_orth,-
598,blr0587,KEGG_orth,-
602,bll0591,KEGG_orth,-
608,bll0596,KEGG_orth,-
609,bll0597,KEGG_orth,-
610,bll0598,KEGG_orth,-
611,bll0599,KEGG_orth,-
612,bll0600,KEGG_orth,-
613,blr0602,KEGG_orth,-
617,bll0605,KEGG_orth,-
622,blr0609,KEGG_orth,-
623,blr0610,KEGG_orth,-
628,blr0614,KEGG_orth,-
632,blr0617,KEGG_orth,-
634,bll0619,KEGG_orth,-
635,bll0620,KEGG_orth,-
636,blr0621,KEGG_orth,-
639,blr0624,KEGG_orth,-
640,bll0626,KEGG_orth,-
656,blr0642,KEGG_orth,-
658,blr0644,KEGG_orth,-
659,bll0645,KEGG_orth,-
661,bll0647,KEGG_orth,-
667,blr0651,KEGG_orth,-
673,bll0657,KEGG_orth,-
674,bll0658,KEGG_orth,-
675,bll0659,KEGG_orth,-
676,bll0660,KEGG_orth,-
678,bsr0662,KEGG_orth,-
679,blr0663,KEGG_orth,-
687,blr0671,KEGG_orth,-
688,bll0672,KEGG_orth,-
694,bll0679,KEGG_orth,-
698,blr0682,KEGG_orth,-
700,blr0684,KEGG_orth,-
704,bll0688,KEGG_orth,-
709,bll0693,KEGG_orth,-
713,blr0697,KEGG_orth,-
718,bll0702,KEGG_orth,-
719,blr0703,KEGG_orth,-
725,blr0709,KEGG_orth,-
728,blr0712,KEGG_orth,-
729,bll0713,KEGG_orth,-
735,bll0718,KEGG_orth,-
744,blr0727,KEGG_orth,-
745,bsl0728,KEGG_orth,-
753,bll0735,KEGG_orth,-
754,blr0736,KEGG_orth,-
755,bll0737,KEGG_orth,-
761,blr0743,KEGG_orth,-
767,blr0749,KEGG_orth,-
768,blr0750,KEGG_orth,-
774,bll0755,KEGG_orth,-
776,bll0757,KEGG_orth,-
784,bll0764,KEGG_orth,-
792,blr0772,KEGG_orth,-
794,bll0774,KEGG_orth,-
795,bll0775,KEGG_orth,-
796,bll0776,KEGG_orth,-
807,blr0787,KEGG_orth,-
810,bll0790,KEGG_orth,-
816,bll0796,KEGG_orth,-
821,bll0800,KEGG_orth,-
822,bll0801,KEGG_orth,-
828,blr0806,KEGG_orth,-
830,bsl0808,KEGG_orth,-
831,bll0809,KEGG_orth,-
835,blr0814,KEGG_orth,-
836,blr0815,KEGG_orth,-
837,bll0816,KEGG_orth,-
838,blr0817,KEGG_orth,-
839,bll0818,KEGG_orth,-
840,bll0819,KEGG_orth,-
841,bll0820,KEGG_orth,-
845,bll0824,KEGG_orth,-
846,bll0825,KEGG_orth,-
847,bll0826,KEGG_orth,-
849,bll0828,KEGG_orth,-
853,blr0833,KEGG_orth,-
856,bll0836,KEGG_orth,-
858,bll0838,KEGG_orth,-
859,bll0839,KEGG_orth,-
863,blr0842,KEGG_orth,-
866,blr0844,KEGG_orth,-
867,blr0846,KEGG_orth,-
868,blr0847,KEGG_orth,-
869,blr0848,KEGG_orth,-
870,bll0849,KEGG_orth,-
871,blr0850,KEGG_orth,-
872,blr0851,KEGG_orth,-
875,blr0854,KEGG_orth,-
876,blr0855,KEGG_orth,-
877,bll0856,KEGG_orth,-
878,blr0857,KEGG_orth,-
879,bsr0858,KEGG_orth,-
880,blr0860,KEGG_orth,-
882,bsr0862,KEGG_orth,-
883,bll0863,KEGG_orth,-
884,blr0864,KEGG_orth,-
885,blr0865,KEGG_orth,-
886,blr0866,KEGG_orth,-
887,blr0867,KEGG_orth,-
888,bll0869,KEGG_orth,-
889,bll0870,KEGG_orth,-
891,blr0872,KEGG_orth,-
892,bll0873,KEGG_orth,-
894,bll0875,KEGG_orth,-
895,blr0876,KEGG_orth,-
896,blr0877,KEGG_orth,-
898,bll0880,KEGG_orth,-
900,bll0882,KEGG_orth,-
907,bll0889,KEGG_orth,-
908,bll0890,KEGG_orth,-
909,bll0891,KEGG_orth,-
910,bll0892,KEGG_orth,-
911,blr0893,KEGG_orth,-
912,bll0894,KEGG_orth,-
915,bll0897,KEGG_orth,-
916,blr0898,KEGG_orth,-
917,blr0899,KEGG_orth,-
918,bll0900,KEGG_orth,-
921,blr0903,KEGG_orth,-
929,blr0911,KEGG_orth,-
938,blr0920,KEGG_orth,-
939,blr0921,KEGG_orth,-
947,blr0930,KEGG_orth,-
952,blr0935,KEGG_orth,-
955,blr0938,KEGG_orth,-
959,bll0942,KEGG_orth,-
960,blr0943,KEGG_orth,-
961,blr0944,KEGG_orth,-
962,bll0945,KEGG_orth,-
966,blr0949,KEGG_orth,-
967,bsl0950,KEGG_orth,-
968,blr0951,KEGG_orth,-
971,bll0954,KEGG_orth,-
972,bll0955,KEGG_orth,-
973,bll0956,KEGG_orth,-
974,bll0957,KEGG_orth,-
976,bsr0959,KEGG_orth,-
980,blr0963,KEGG_orth,-
981,blr0964,KEGG_orth,-
982,bll0965,KEGG_orth,-
995,blr0978,KEGG_orth,-
1001,blr0984,KEGG_orth,-
1002,blr0985,KEGG_orth,-
1005,blr0988,KEGG_orth,-
1017,blr0997,KEGG_orth,-
1020,bll1000,KEGG_orth,-
1023,blr1003,KEGG_orth,-
1024,bll1004,KEGG_orth,-
1025,bll1005,KEGG_orth,-
1026,bsl1006,KEGG_orth,-
1027,bll1007,KEGG_orth,-
1030,bll1010,KEGG_orth,-
1035,blr1015,KEGG_orth,-
1037,blr1017,KEGG_orth,-
1038,blr1018,KEGG_orth,-
1044,bll1024,KEGG_orth,-
1045,bll1025,KEGG_orth,-
1046,bll1026,KEGG_orth,-
1047,bll1027,KEGG_orth,-
1050,bll1030,KEGG_orth,-
1051,bll1031,KEGG_orth,-
1052,bll1032,KEGG_orth,-
1054,blr1034,KEGG_orth,-
1062,bsr1040,KEGG_orth,-
1065,blr1042,KEGG_orth,-
1066,blr1043,KEGG_orth,-
1068,bll1045,KEGG_orth,-
1070,bll1047,KEGG_orth,-
1071,blr1048,KEGG_orth,-
1083,bll1060,KEGG_orth,-
1084,bsl1061,KEGG_orth,-
1092,bll1068,KEGG_orth,-
1094,bll1070,KEGG_orth,-
1097,blr1072,KEGG_orth,-
1098,bll1073,KEGG_orth,-
1099,bll1074,KEGG_orth,-
1103,blr1078,KEGG_orth,-
1108,bll1083,KEGG_orth,-
1110,blr1085,KEGG_orth,-
1113,blr1088,KEGG_orth,-
1128,blr1102,KEGG_orth,-
1129,blr1103,KEGG_orth,-
1130,blr1104,KEGG_orth,-
1134,blr1107,KEGG_orth,-
1135,blr1108,KEGG_orth,-
1136,bll1109,KEGG_orth,-
1137,bll1110,KEGG_orth,-
1138,bsl1111,KEGG_orth,-
1141,bll1114,KEGG_orth,-
1142,blr1115,KEGG_orth,-
1153,bll1126,KEGG_orth,-
1154,bll1127,KEGG_orth,-
1157,blr1130,KEGG_orth,-
1161,bll1134,KEGG_orth,-
1162,bll1135,KEGG_orth,-
1163,blr1136,KEGG_orth,-
1165,bll1138,KEGG_orth,-
1166,blr1139,KEGG_orth,-
1169,bll1142,KEGG_orth,-
1170,bll1143,KEGG_orth,-
1173,blr1146,KEGG_orth,-
1174,blr1147,KEGG_orth,-
1177,bll1150,KEGG_orth,-
1178,blr1151,KEGG_orth,-
1179,blr1152,KEGG_orth,-
1180,bll1153,KEGG_orth,-
1184,bll1156,KEGG_orth,-
1185,blr1157,KEGG_orth,-
1189,bsl1161,KEGG_orth,-
1191,blr1163,KEGG_orth,-
1193,blr1165,KEGG_orth,-
1197,bll1169,KEGG_orth,-
1201,bsr1173,KEGG_orth,-
1204,blr1176,KEGG_orth,-
1206,blr1178,KEGG_orth,-
1207,bll1179,KEGG_orth,-
1208,blr1180,KEGG_orth,-
1210,blr1182,KEGG_orth,-
1212,blr1184,KEGG_orth,-
1218,blr1190,KEGG_orth,-
1219,blr1191,KEGG_orth,-
1220,blr1192,KEGG_orth,-
1221,bll1193,KEGG_orth,-
1222,blr1194,KEGG_orth,-
1223,bll1195,KEGG_orth,-
1224,blr1196,KEGG_orth,-
1225,blr1197,KEGG_orth,-
1226,blr1198,KEGG_orth,-
1227,bll1199,KEGG_orth,-
1230,bll1202,KEGG_orth,-
1233,bll1205,KEGG_orth,-
1234,blr1206,KEGG_orth,-
1235,bll1207,KEGG_orth,-
1236,bsl1208,KEGG_orth,-
1243,blr1213,KEGG_orth,-
1244,blr1214,KEGG_orth,-
1245,blr1215,KEGG_orth,-
1247,bll1217,KEGG_orth,-
1249,blr1219,KEGG_orth,-
1261,bsr1232,KEGG_orth,-
1264,bll1234,KEGG_orth,-
1266,bll1236,KEGG_orth,-
1267,blr1237,KEGG_orth,-
1268,blr1238,KEGG_orth,-
1269,blr1239,KEGG_orth,-
1272,blr1242,KEGG_orth,-
1273,bll1243,KEGG_orth,-
1274,bll1244,KEGG_orth,-
1275,blr1245,KEGG_orth,-
1276,blr1246,KEGG_orth,-
1277,blr1247,KEGG_orth,-
1279,blr1249,KEGG_orth,-
1280,blr1250,KEGG_orth,-
1282,bll1252,KEGG_orth,-
1284,blr1254,KEGG_orth,-
1285,blr1255,KEGG_orth,-
1287,blr1257,KEGG_orth,-
1292,blr1261,KEGG_orth,-
1293,blr1265,KEGG_orth,-
1294,blr1266,KEGG_orth,-
1295,blr1267,KEGG_orth,-
1296,blr1268,KEGG_orth,-
1297,bll1270,KEGG_orth,-
1308,blr1277,KEGG_orth,-
1309,blr1278,KEGG_orth,-
1310,blr1279,KEGG_orth,-
1311,blr1280,KEGG_orth,-
1312,blr1282,KEGG_orth,-
1315,bll1285,KEGG_orth,-
1316,bll1286,KEGG_orth,-
1317,bll1287,KEGG_orth,-
1320,bll1290,KEGG_orth,-
1321,bll1291,KEGG_orth,-
1324,bll1294,KEGG_orth,-
1326,bll1296,KEGG_orth,-
1327,blr1297,KEGG_orth,-
1328,blr1298,KEGG_orth,-
1329,bll1299,KEGG_orth,-
1330,blr1300,KEGG_orth,-
1332,blr1302,KEGG_orth,-
1333,blr1303,KEGG_orth,-
1334,blr1304,KEGG_orth,-
1335,bll1305,KEGG_orth,-
1337,blr1307,KEGG_orth,-
1338,blr1308,KEGG_orth,-
1341,bsr1310,KEGG_orth,-
1343,bsl1312,KEGG_orth,-
1349,bll1318,KEGG_orth,-
1355,blr1324,KEGG_orth,-
1356,blr1325,KEGG_orth,-
1359,blr1328,KEGG_orth,-
1362,blr1331,KEGG_orth,-
1363,blr1332,KEGG_orth,-
1365,bsl1334,KEGG_orth,-
1366,bll1335,KEGG_orth,-
1369,bll1337,KEGG_orth,-
1370,bll1338,KEGG_orth,-
1371,bll1339,KEGG_orth,-
1374,bll1342,KEGG_orth,-
1375,blr1343,KEGG_orth,-
1376,bll1344,KEGG_orth,-
1378,blr1346,KEGG_orth,-
1380,blr1348,KEGG_orth,-
1381,blr1349,KEGG_orth,-
1383,bll1351,KEGG_orth,-
1391,bll1359,KEGG_orth,-
1392,blr1360,KEGG_orth,-
1393,blr1361,KEGG_orth,-
1394,bll1362,KEGG_orth,-
1396,blr1364,KEGG_orth,-
1398,bll1367,KEGG_orth,-
1399,bll1368,KEGG_orth,-
1400,bll1369,KEGG_orth,-
1401,bll1370,KEGG_orth,-
1404,blr1373,KEGG_orth,-
1406,blr1375,KEGG_orth,-
1411,bll1380,KEGG_orth,-
1413,bsr1382,KEGG_orth,-
1417,blr1386,KEGG_orth,-
1418,blr1387,KEGG_orth,-
1419,bll1388,KEGG_orth,-
1420,bll1389,KEGG_orth,-
1423,blr1392,KEGG_orth,-
1426,blr1395,KEGG_orth,-
1431,bll1398,KEGG_orth,-
1433,blr1400,KEGG_orth,-
1435,blr1402,KEGG_orth,-
1438,bsl1405,KEGG_orth,-
1439,bll1406,KEGG_orth,-
1440,bll1407,KEGG_orth,-
1441,blr1408,KEGG_orth,-
1442,blr1409,KEGG_orth,-
1444,blr1411,KEGG_orth,-
1445,bll1412,KEGG_orth,-
1447,blr1414,KEGG_orth,-
1449,bll1416,KEGG_orth,-
1450,bll1417,KEGG_orth,-
1453,blr1420,KEGG_orth,-
1466,blr1429,KEGG_orth,-
1467,bll1430,KEGG_orth,-
1469,bsr1432,KEGG_orth,-
1470,blr1433,KEGG_orth,-
1480,blr1443,KEGG_orth,-
1481,blr1444,KEGG_orth,-
1496,bsr1458,KEGG_orth,-
1499,blr1461,KEGG_orth,-
1500,bll1462,KEGG_orth,-
1501,bll1463,KEGG_orth,-
1502,bll1464,KEGG_orth,-
1503,bll1465,KEGG_orth,-
1504,bll1466,KEGG_orth,-
1505,bll1467,KEGG_orth,-
1506,blr1468,KEGG_orth,-
1507,blr1469,KEGG_orth,-
1508,bll1470,KEGG_orth,-
1509,bll1471,KEGG_orth,-
1510,bsr1472,KEGG_orth,-
1511,bsl1473,KEGG_orth,-
1517,blr1478,KEGG_orth,-
1519,blr1480,KEGG_orth,-
1525,blr1486,KEGG_orth,-
1529,bll1490,KEGG_orth,-
1530,bll1491,KEGG_orth,-
1535,blr1496,KEGG_orth,-
1540,bll1500,KEGG_orth,-
1541,blr1501,KEGG_orth,-
1544,bsr1504,KEGG_orth,-
1550,bll1511,KEGG_orth,-
1552,blr1513,KEGG_orth,-
1564,bsr1525,KEGG_orth,-
1568,bll1529,KEGG_orth,-
1573,blr1534,KEGG_orth,-
1577,blr1538,KEGG_orth,-
1579,bll1540,KEGG_orth,-
1580,bll1541,KEGG_orth,-
1581,blr1542,KEGG_orth,-
1583,bll1544,KEGG_orth,-
1584,bll1545,KEGG_orth,-
1585,blr1546,KEGG_orth,-
1586,bsr1547,KEGG_orth,-
1587,blr1548,KEGG_orth,-
1589,blr1551,KEGG_orth,-
1591,blr1554,KEGG_orth,-
1592,bll1555,KEGG_orth,-
1593,blr1556,KEGG_orth,-
1594,bll1557,KEGG_orth,-
1595,bll1558,KEGG_orth,-
1596,bll1559,KEGG_orth,-
1597,bll1560,KEGG_orth,-
1598,bsr1561,KEGG_orth,-
1599,bsr1562,KEGG_orth,-
1600,blr1563,KEGG_orth,-
1601,blr1564,KEGG_orth,-
1602,bll1566,KEGG_orth,-
1603,bll1567,KEGG_orth,-
1604,bll1568,KEGG_orth,-
1605,bll1569,KEGG_orth,-
1606,bll1570,KEGG_orth,-
1607,blr1571,KEGG_orth,-
1608,bll1572,KEGG_orth,-
1611,blr1575,KEGG_orth,-
1612,bll1576,KEGG_orth,-
1613,bll1577,KEGG_orth,-
1614,blr1578,KEGG_orth,-
1615,blr1579,KEGG_orth,-
1616,bll1580,KEGG_orth,-
1617,bll1581,KEGG_orth,-
1618,bll1582,KEGG_orth,-
1619,bll1583,KEGG_orth,-
1620,bll1584,KEGG_orth,-
1621,bll1585,KEGG_orth,-
1622,bll1586,KEGG_orth,-
1623,bll1587,KEGG_orth,-
1625,bsl1589,KEGG_orth,-
1626,bsr1590,KEGG_orth,-
1627,bll1591,KEGG_orth,-
1628,bll1592,KEGG_orth,-
1629,bll1593,KEGG_orth,-
1630,bll1594,KEGG_orth,-
1631,bll1595,KEGG_orth,-
1633,bsl1598,KEGG_orth,-
1634,blr1600,KEGG_orth,-
1641,blr1606,KEGG_orth,-
1642,bsr1607,KEGG_orth,-
1645,blr1610,KEGG_orth,-
1646,blr1611,KEGG_orth,-
1647,blr1612,KEGG_orth,-
1651,blr1616,KEGG_orth,-
1656,bsr1621,KEGG_orth,-
1657,bll1623,KEGG_orth,-
1658,blr1625,KEGG_orth,-
1660,blr1627,KEGG_orth,-
1667,blr1633,KEGG_orth,-
1668,bll1634,KEGG_orth,-
1669,blr1635,KEGG_orth,-
1670,bll1636,KEGG_orth,-
1671,bsl1637,KEGG_orth,-
1672,blr1638,KEGG_orth,-
1673,bsl1639,KEGG_orth,-
1674,blr1640,KEGG_orth,-
1676,bll1642,KEGG_orth,-
1677,bll1643,KEGG_orth,-
1678,blr1644,KEGG_orth,-
1682,bll1648,KEGG_orth,-
1683,blr1649,KEGG_orth,-
1684,bsl1651,KEGG_orth,-
1685,bsl1652,KEGG_orth,-
1686,blr1653,KEGG_orth,-
1688,blr1656,KEGG_orth,-
1689,blr1657,KEGG_orth,-
1690,blr1658,KEGG_orth,-
1691,blr1659,KEGG_orth,-
1692,bll1660,KEGG_orth,-
1693,blr1661,KEGG_orth,-
1695,blr1663,KEGG_orth,-
1696,blr1664,KEGG_orth,-
1697,blr1665,KEGG_orth,-
1698,blr1666,KEGG_orth,-
1699,blr1667,KEGG_orth,-
1700,bll1668,KEGG_orth,-
1701,bll1669,KEGG_orth,-
1702,blr1670,KEGG_orth,-
1703,blr1671,KEGG_orth,-
1704,blr1672,KEGG_orth,-
1705,blr1673,KEGG_orth,-
1706,bll1674,KEGG_orth,-
1708,blr1676,KEGG_orth,-
1709,bsr1677,KEGG_orth,-
1710,bsl1678,KEGG_orth,-
1715,bsr1683,KEGG_orth,-
1716,bll1684,KEGG_orth,-
1725,blr1693,KEGG_orth,-
1726,bll1694,KEGG_orth,-
1728,bsl1696,KEGG_orth,-
1729,bll1697,KEGG_orth,-
1735,bll1703,KEGG_orth,-
1736,blr1704,KEGG_orth,-
1738,blr1706,KEGG_orth,-
1739,blr1707,KEGG_orth,-
1743,bll1711,KEGG_orth,-
1744,blr1712,KEGG_orth,-
1745,bsl1713,KEGG_orth,-
1746,bll1714,KEGG_orth,-
1747,bll1715,KEGG_orth,-
1755,bsr1723,KEGG_orth,-
1758,blr1726,KEGG_orth,-
1760,blr1728,KEGG_orth,-
1761,bsr1729,KEGG_orth,-
1772,bsr1739,KEGG_orth,-
1781,blr1748,KEGG_orth,-
1782,bsr1749,KEGG_orth,-
1783,bsr1750,KEGG_orth,-
1784,blr1752,KEGG_orth,-
1785,blr1753,KEGG_orth,-
1786,bll1754,KEGG_orth,-
1790,bsr1758,KEGG_orth,-
1792,bsr1760,KEGG_orth,-
1794,blr1763,KEGG_orth,-
1795,bsr1764,KEGG_orth,-
1796,blr1765,KEGG_orth,-
1798,bll1767,KEGG_orth,-
1799,blr1768,KEGG_orth,-
1803,bsl1772,KEGG_orth,-
1809,bll1778,KEGG_orth,-
