,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,pathway_name,module_name
11,Methane,map05134,0.0005036760129733392,0.026191152674613638,0.14285714285714285,0.1,0.11764705882352941,2.0,20.0,14.0,KEGG pathways,Legionellosis,
12,Methane,map05152,0.0004063827289433073,0.026191152674613638,0.14285714285714285,0.1111111111111111,0.125,2.0,18.0,14.0,KEGG pathways,Tuberculosis,
13,Methane,map00642,0.001704407109812515,0.07385764142520898,0.07142857142857142,1.0,0.13333333333333333,1.0,1.0,14.0,KEGG pathways,Ethylbenzene degradation,
15,bll3348,map02024,0.00016792605076998765,0.04366077320019679,0.3333333333333333,0.016025641025641024,0.030581039755351678,5.0,312.0,15.0,KEGG pathways,Quorum sensing,
16,bll3348,map02010,0.000354327816227153,0.04606261610952989,0.3333333333333333,0.01366120218579235,0.026246719160104983,5.0,366.0,15.0,KEGG pathways,ABC transporters,
17,XylR/bll3916,map02010,1.2012662846559719e-21,3.123292340105527e-19,0.2315270935960591,0.1284153005464481,0.16520210896309315,47.0,366.0,203.0,KEGG pathways,ABC transporters,
18,XylR/bll3916,map02024,2.2204718669995938e-11,2.8866134270994717e-09,0.15270935960591134,0.09935897435897435,0.12038834951456309,31.0,312.0,203.0,KEGG pathways,Quorum sensing,
19,XylR/bll3916,map00360,1.641140849526759e-05,0.0014223220695898577,0.04433497536945813,0.14754098360655737,0.06818181818181818,9.0,61.0,203.0,KEGG pathways,Phenylalanine metabolism,
20,XylR/bll3916,map00071,0.00019458492029281733,0.012648019819033126,0.04433497536945813,0.10843373493975904,0.06293706293706293,9.0,83.0,203.0,KEGG pathways,Fatty acid degradation,
21,XylR/bll3916,map03320,0.0005283326886342929,0.027473299808983227,0.029556650246305417,0.14285714285714285,0.04897959183673469,6.0,42.0,203.0,KEGG pathways,PPAR signaling pathway,
22,XylR/bll3916,map02030,0.000956249498750437,0.041437478279185605,0.034482758620689655,0.109375,0.05243445692883894,7.0,64.0,203.0,KEGG pathways,Bacterial chemotaxis,
23,HrcA,map04141,3.446563408255566e-05,0.00896106486146447,0.023809523809523808,0.6,0.045801526717557245,3.0,5.0,126.0,KEGG pathways,Protein processing in endoplasmic reticulum,
24,HrcA,map04940,0.00011793885014589167,0.015332050518965915,0.023809523809523808,0.42857142857142855,0.04511278195488722,3.0,7.0,126.0,KEGG pathways,Type I diabetes mellitus,
25,Leucine,map00640,1.5621538448106219e-06,0.00040615999965076165,0.2,0.05825242718446602,0.09022556390977443,6.0,103.0,30.0,KEGG pathways,Propanoate metabolism,
26,Leucine,map00280,2.004112950009657e-05,0.0023461557601949803,0.16666666666666666,0.05319148936170213,0.08064516129032258,5.0,94.0,30.0,KEGG pathways,"Valine, leucine and isoleucine degradation",
27,Leucine,map00630,2.7071028002249772e-05,0.0023461557601949803,0.16666666666666666,0.05,0.07692307692307691,5.0,100.0,30.0,KEGG pathways,Glyoxylate and dicarboxylate metabolism,
28,Leucine,map01100,0.0003478185425162113,0.022608205263553734,0.4,0.01060070671378092,0.020654044750430294,12.0,1132.0,30.0,KEGG pathways,Metabolic pathways,
29,Leucine,map01110,0.0011605528676444073,0.060348749117509176,0.23333333333333334,0.015053763440860216,0.028282828282828288,7.0,465.0,30.0,KEGG pathways,Biosynthesis of secondary metabolites,
30,Flagella,map02040,2.5279997444794795e-46,6.572799335646647e-44,0.5652173913043478,0.43333333333333335,0.49056603773584906,26.0,60.0,46.0,KEGG pathways,Flagellar assembly,
31,Flagella,map02030,2.6259956721509006e-05,0.0034137943737961706,0.10869565217391304,0.078125,0.09090909090909091,5.0,64.0,46.0,KEGG pathways,Bacterial chemotaxis,
32,Flagella,map05132,0.00018279211949480414,0.015841983689549692,0.043478260869565216,0.5,0.08,2.0,4.0,46.0,KEGG pathways,Salmonella infection,
33,Flagella,map04621,0.0004537243604398614,0.02949208342859099,0.043478260869565216,0.3333333333333333,0.07692307692307691,2.0,6.0,46.0,KEGG pathways,NOD-like receptor signaling pathway,
34,Flagella,map04626,0.0008409220132354842,0.04372794468824518,0.043478260869565216,0.25,0.07407407407407408,2.0,8.0,46.0,KEGG pathways,Plant-pathogen interaction,
35,Translation-1,map03010,1.848836646716216e-23,4.806975281462162e-21,0.3018867924528302,0.2909090909090909,0.2962962962962963,16.0,55.0,53.0,KEGG pathways,Ribosome,
36,Translation-1,map00195,2.0734881311373555e-05,0.002695534570478562,0.05660377358490566,0.3333333333333333,0.0967741935483871,3.0,9.0,53.0,KEGG pathways,Photosynthesis,
37,Calvin_cycle,map00710,1.1201151258180756e-16,2.9122993271269964e-14,0.7777777777777778,0.2413793103448276,0.368421052631579,7.0,29.0,9.0,KEGG pathways,Carbon fixation in photosynthetic organisms,
38,Calvin_cycle,map01200,2.9972368761841014e-10,3.8964079390393316e-08,0.7777777777777778,0.0319634703196347,0.06140350877192982,7.0,219.0,9.0,KEGG pathways,Carbon metabolism,
39,Calvin_cycle,map00030,1.0628124190064669e-07,9.211040964722713e-06,0.4444444444444444,0.08695652173913043,0.14545454545454548,4.0,46.0,9.0,KEGG pathways,Pentose phosphate pathway,
40,Calvin_cycle,map01120,1.7028514925955448e-07,1.106853470187104e-05,0.7777777777777778,0.01289134438305709,0.025362318840579712,7.0,543.0,9.0,KEGG pathways,Microbial metabolism in diverse environments,
41,Calvin_cycle,map01100,2.591349917233857e-05,0.0013475019569616055,0.7777777777777778,0.006183745583038869,0.012269938650306747,7.0,1132.0,9.0,KEGG pathways,Metabolic pathways,
42,Calvin_cycle,map00051,0.00062322328647079,0.023148293497486486,0.2222222222222222,0.05714285714285714,0.0909090909090909,2.0,35.0,9.0,KEGG pathways,Fructose and mannose metabolism,
43,Calvin_cycle,map01130,0.0005419486221230993,0.023148293497486486,0.4444444444444444,0.01015228426395939,0.019851116625310174,4.0,394.0,9.0,KEGG pathways,,
44,Calvin_cycle,map01110,0.0010168192173333685,0.029634923901049846,0.4444444444444444,0.008602150537634409,0.016877637130801686,4.0,465.0,9.0,KEGG pathways,Biosynthesis of secondary metabolites,
45,Calvin_cycle,map01230,0.0010258242888824948,0.029634923901049846,0.3333333333333333,0.015228426395939087,0.02912621359223301,3.0,197.0,9.0,KEGG pathways,Biosynthesis of amino acids,
46,Calvin_cycle,map00680,0.0017678550871312267,0.045964232265411895,0.2222222222222222,0.03389830508474576,0.0588235294117647,2.0,59.0,9.0,KEGG pathways,Methane metabolism,
47,Calvin_cycle,map00010,0.002013308323591295,0.04758728764852151,0.2222222222222222,0.031746031746031744,0.05555555555555555,2.0,63.0,9.0,KEGG pathways,Glycolysis / Gluconeogenesis,
48,Calvin_cycle,map04910,0.003283869942059758,0.07115051541129475,0.1111111111111111,0.3333333333333333,0.16666666666666666,1.0,3.0,9.0,KEGG pathways,Insulin signaling pathway,
49,Calvin_cycle,map00630,0.004996491205914663,0.09992982411829326,0.2222222222222222,0.02,0.03669724770642202,2.0,100.0,9.0,KEGG pathways,Glyoxylate and dicarboxylate metabolism,
51,HutC,map00340,1.1636312984104475e-08,3.0254413758671632e-06,0.4,0.16666666666666666,0.23529411764705882,4.0,24.0,10.0,KEGG pathways,Histidine metabolism,
52,Glyoxylate,map00630,0.00019566691816743406,0.05087339872353285,0.08571428571428572,0.06,0.07058823529411765,6.0,100.0,70.0,KEGG pathways,Glyoxylate and dicarboxylate metabolism,
53,NnrR,map00710,5.882789952417511e-07,0.00015295253876285527,0.10416666666666667,0.1724137931034483,0.12987012987012989,5.0,29.0,48.0,KEGG pathways,Carbon fixation in photosynthetic organisms,
54,NnrR,map00910,4.485354114243833e-06,0.0005830960348516983,0.10416666666666667,0.11627906976744186,0.10989010989010989,5.0,43.0,48.0,KEGG pathways,Nitrogen metabolism,
55,NnrR,map02010,0.00022468738214235443,0.019472906452337384,0.1875,0.02459016393442623,0.043478260869565216,9.0,366.0,48.0,KEGG pathways,ABC transporters,
56,NnrR,map01120,0.0009742802421461837,0.06332821573950194,0.20833333333333334,0.01841620626151013,0.0338409475465313,10.0,543.0,48.0,KEGG pathways,Microbial metabolism in diverse environments,
57,Cell_mobility,map02040,0.00015143527763886503,0.03937317218610491,0.04375,0.11666666666666667,0.06363636363636364,7.0,60.0,160.0,KEGG pathways,Flagellar assembly,
59,Sulfur-1,map00920,2.7169392767195235e-31,7.06404211947076e-29,0.5128205128205128,0.25,0.3361344537815126,20.0,80.0,39.0,KEGG pathways,Sulfur metabolism,
60,Sulfur-1,map02010,1.5515924861150407e-13,2.0170702319495527e-11,0.4358974358974359,0.04644808743169399,0.08395061728395062,17.0,366.0,39.0,KEGG pathways,ABC transporters,
61,Bacterial_chemotaxis,map02030,2.521414593172643e-33,6.555677942248871e-31,0.17791411042944785,0.453125,0.2555066079295154,29.0,64.0,163.0,KEGG pathways,Bacterial chemotaxis,
62,Bacterial_chemotaxis,map02020,3.787899724655281e-16,4.924269642051865e-14,0.17791411042944785,0.1288888888888889,0.14948453608247422,29.0,225.0,163.0,KEGG pathways,Two-component system,
63,Bacterial_chemotaxis,map04112,6.11861877418956e-09,5.302802937630952e-07,0.06134969325153374,0.23809523809523808,0.0975609756097561,10.0,42.0,163.0,KEGG pathways,Cell cycle - Caulobacter,
64,BioR,map00780,1.5250835512590954e-05,0.003965217233273648,0.12903225806451613,0.0975609756097561,0.1111111111111111,4.0,41.0,31.0,KEGG pathways,Biotin metabolism,
0,T3SS,M00660,9.708685432408706e-08,3.0873619675059686e-05,0.08888888888888889,0.4444444444444444,0.14814814814814814,4.0,9.0,45.0,KEGG modules,,"Xanthomonas spp. pathogenicity signature, T3SS and effectors"
1,T3SS,M00332,2.522481668586873e-07,4.0107458530531274e-05,0.08888888888888889,0.36363636363636365,0.14285714285714285,4.0,11.0,45.0,KEGG modules,,
2,T3SS,M00542,1.2615245539810034e-05,0.0013372160272198635,0.06666666666666667,0.3333333333333333,0.1111111111111111,3.0,9.0,45.0,KEGG modules,,"EHEC/EPEC pathogenicity signature, T3SS and effectors"
3,FixK2-1,M00357,3.0973586120961124e-06,0.0005084147120814501,0.03278688524590164,0.5,0.061538461538461535,4.0,8.0,122.0,KEGG modules,,"Methanogenesis, acetate => methane"
4,FixK2-1,M00579,3.197576805543712e-06,0.0005084147120814501,0.02459016393442623,1.0,0.048,3.0,3.0,122.0,KEGG modules,,"Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate"
5,FixK2-1,M00210,0.00010713257100040498,0.006813631515625756,0.02459016393442623,0.42857142857142855,0.04651162790697675,3.0,7.0,122.0,KEGG modules,,
6,FixK2-1,M00669,0.00010713257100040498,0.006813631515625756,0.02459016393442623,0.42857142857142855,0.04651162790697675,3.0,7.0,122.0,KEGG modules,,
7,FixK2-1,M00670,0.00010713257100040498,0.006813631515625756,0.02459016393442623,0.42857142857142855,0.04651162790697675,3.0,7.0,122.0,KEGG modules,,
8,NifA,M00175,6.985152236134162e-06,0.0022212784110906634,0.0189873417721519,1.0,0.03726708074534161,3.0,3.0,158.0,KEGG modules,,"Nitrogen fixation, nitrogen => ammonia"
9,NifA,M00189,2.5292127613464146e-05,0.004021448290540799,0.02531645569620253,0.4,0.047619047619047616,4.0,10.0,158.0,KEGG modules,,
11,Denitrification,M00530,9.769055076301818e-06,0.0031065595142639782,0.18181818181818182,0.5,0.26666666666666666,2.0,4.0,11.0,KEGG modules,,"Dissimilatory nitrate reduction, nitrate => ammonia"
12,Denitrification,M00529,3.411680228111649e-05,0.005424571562697522,0.18181818181818182,0.2857142857142857,0.2222222222222222,2.0,7.0,11.0,KEGG modules,,"Denitrification, nitrate => nitrogen"
13,Irr,M00240,8.982195408561687e-07,0.00028563381399226165,0.058823529411764705,0.75,0.10909090909090909,3.0,4.0,51.0,KEGG modules,,
15,bll3348,M00237,3.3837203202137144e-06,0.001076023061827961,0.3333333333333333,0.03597122302158273,0.06493506493506493,5.0,139.0,15.0,KEGG modules,,
16,XylR/bll3916,M00212,3.198350224907928e-17,1.017075371520721e-14,0.06896551724137931,0.5833333333333334,0.12334801762114536,14.0,24.0,203.0,KEGG modules,,
17,XylR/bll3916,M00237,2.8273931219141834e-13,4.495555063843551e-11,0.11330049261083744,0.16546762589928057,0.1345029239766082,23.0,139.0,203.0,KEGG modules,,
18,XylR/bll3916,M00207,2.750632950150907e-12,2.9156709271599617e-10,0.06403940886699508,0.34210526315789475,0.1078838174273859,13.0,38.0,203.0,KEGG modules,,
19,XylR/bll3916,M00216,1.4877775556673224e-05,0.0011827831567555213,0.014778325123152709,1.0,0.029126213592233007,3.0,3.0,203.0,KEGG modules,,
20,XylR/bll3916,M00417,4.1408005433322894e-05,0.002633549145559336,0.019704433497536946,0.4444444444444444,0.03773584905660378,4.0,9.0,203.0,KEGG modules,,Cytochrome o ubiquinol oxidase
21,XylR/bll3916,M00221,7.693638456033034e-05,0.0040776283816975085,0.024630541871921183,0.2631578947368421,0.04504504504504504,5.0,19.0,203.0,KEGG modules,,
22,XylR/bll3916,M00593,0.0006078422530915446,0.02761340521187303,0.009852216748768473,1.0,0.01951219512195122,2.0,2.0,203.0,KEGG modules,,
23,XylR/bll3916,M00087,0.002268490238630111,0.08015332176493059,0.024630541871921183,0.13157894736842105,0.041493775933609964,5.0,38.0,203.0,KEGG modules,,beta-Oxidation
24,XylR/bll3916,M00605,0.002119464989613496,0.08015332176493059,0.014778325123152709,0.2727272727272727,0.02803738317757009,3.0,11.0,203.0,KEGG modules,,
25,Leucine,M00036,1.9415448427124073e-05,0.006174112599825455,0.13333333333333333,0.08888888888888889,0.10666666666666669,4.0,45.0,30.0,KEGG modules,,"Leucine degradation, leucine => acetoacetate + acetyl-CoA"
27,Translation-1,M00178,1.848836646716216e-23,5.879300536557567e-21,0.3018867924528302,0.2909090909090909,0.2962962962962963,16.0,55.0,53.0,KEGG modules,,
28,Translation-1,M00179,7.214502312225476e-10,1.1471058676438506e-07,0.1320754716981132,0.22580645161290322,0.16666666666666666,7.0,31.0,53.0,KEGG modules,,
29,Translation-1,M00157,2.0734881311373555e-05,0.002197897419005597,0.05660377358490566,0.3333333333333333,0.0967741935483871,3.0,9.0,53.0,KEGG modules,,"F-type ATPase, prokaryotes and chloroplasts"
30,Calvin_cycle,M00165,2.4330976725973293e-15,7.737250598859507e-13,0.6666666666666666,0.35294117647058826,0.46153846153846156,6.0,17.0,9.0,KEGG modules,,Reductive pentose phosphate cycle (Calvin cycle)
31,Calvin_cycle,M00166,9.087593731742675e-09,1.4449274033470852e-06,0.3333333333333333,0.6,0.42857142857142855,3.0,5.0,9.0,KEGG modules,,"Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P"
32,Calvin_cycle,M00167,1.991611057242833e-07,2.111107720677403e-05,0.3333333333333333,0.25,0.28571428571428575,3.0,12.0,9.0,KEGG modules,,"Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P"
33,Calvin_cycle,M00344,3.2000028223586483e-06,0.0002544002243775125,0.2222222222222222,0.6666666666666666,0.3333333333333333,2.0,3.0,9.0,KEGG modules,,"Formaldehyde assimilation, xylulose monophosphate pathway"
34,Calvin_cycle,M00007,4.7809411916954114e-05,0.0030406785979182815,0.2222222222222222,0.2,0.2105263157894737,2.0,10.0,9.0,KEGG modules,,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
35,Calvin_cycle,M00003,8.272842398061614e-05,0.004384606470972656,0.2222222222222222,0.15384615384615385,0.18181818181818185,2.0,13.0,9.0,KEGG modules,,"Gluconeogenesis, oxaloacetate => fructose-6P"
36,Calvin_cycle,M00004,0.00011123862091626772,0.005050539162309441,0.2222222222222222,0.13333333333333333,0.16666666666666669,2.0,15.0,9.0,KEGG modules,,Pentose phosphate pathway (Pentose phosphate cycle)
37,Calvin_cycle,M00532,0.00012705758898891675,0.005050539162309441,0.2222222222222222,0.125,0.16,2.0,16.0,9.0,KEGG modules,,Photorespiration
38,FixK2-2,M00156,1.9463385947643558e-07,6.189356731350651e-05,0.022988505747126436,1.0,0.0449438202247191,4.0,4.0,174.0,KEGG modules,,"Cytochrome c oxidase, cbb3-type"
39,FixK2-2,M00210,0.00030716986062116644,0.019536003135506186,0.017241379310344827,0.42857142857142855,0.03314917127071823,3.0,7.0,174.0,KEGG modules,,
40,FixK2-2,M00529,0.00030716986062116644,0.019536003135506186,0.017241379310344827,0.42857142857142855,0.03314917127071823,3.0,7.0,174.0,KEGG modules,,"Denitrification, nitrate => nitrogen"
41,FixK2-2,M00669,0.00030716986062116644,0.019536003135506186,0.017241379310344827,0.42857142857142855,0.03314917127071823,3.0,7.0,174.0,KEGG modules,,
42,FixK2-2,M00670,0.00030716986062116644,0.019536003135506186,0.017241379310344827,0.42857142857142855,0.03314917127071823,3.0,7.0,174.0,KEGG modules,,
43,HutC,M00045,1.2996518651444432e-09,4.132892931159329e-07,0.3,1.0,0.4615384615384615,3.0,3.0,10.0,KEGG modules,,"Histidine degradation, histidine => N-formiminoglutamate => glutamate"
44,HutC,M00188,3.48239066140536e-05,0.005537001151634522,0.3,0.05357142857142857,0.09090909090909091,3.0,56.0,10.0,KEGG modules,,
45,AA_transport,M00237,4.236040573388077e-05,0.013470609023374085,0.20833333333333334,0.03597122302158273,0.06134969325153374,5.0,139.0,24.0,KEGG modules,,
46,AA_transport,M00417,0.0002909060845621454,0.04625406744538111,0.08333333333333333,0.2222222222222222,0.12121212121212122,2.0,9.0,24.0,KEGG modules,,Cytochrome o ubiquinol oxidase
47,NodD2,M00664,7.858626851169923e-07,0.00024990433386720353,0.10344827586206896,0.5,0.17142857142857143,3.0,6.0,29.0,KEGG modules,,Nodulation
48,NodD2,M00252,1.2036480259238509e-05,0.0019138003612189228,0.06896551724137931,1.0,0.12903225806451613,2.0,2.0,29.0,KEGG modules,,
49,NnrR,M00200,1.0589705286060694e-08,3.3675262809673006e-06,0.10416666666666667,0.35714285714285715,0.16129032258064516,5.0,14.0,48.0,KEGG modules,,
50,NnrR,M00529,3.5471401365700955e-08,5.639952817146452e-06,0.08333333333333333,0.5714285714285714,0.14545454545454545,4.0,7.0,48.0,KEGG modules,,"Denitrification, nitrate => nitrogen"
51,NnrR,M00165,2.3106710255806944e-06,0.0002449311287115536,0.08333333333333333,0.23529411764705882,0.12307692307692308,4.0,17.0,48.0,KEGG modules,,Reductive pentose phosphate cycle (Calvin cycle)
52,NnrR,M00762,3.344125549857399e-05,0.002658579812136632,0.041666666666666664,1.0,0.07999999999999999,2.0,2.0,48.0,KEGG modules,,
53,NnrR,M00221,0.00016995480121962102,0.010809125357567896,0.0625,0.15789473684210525,0.08955223880597014,3.0,19.0,48.0,KEGG modules,,
54,NnrR,M00166,0.00033068146910436125,0.017526117862531148,0.041666666666666664,0.4,0.07547169811320754,2.0,5.0,48.0,KEGG modules,,"Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P"
55,NnrR,M00007,0.0014605401922242042,0.05805647264091211,0.041666666666666664,0.2,0.06896551724137931,2.0,10.0,48.0,KEGG modules,,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
56,NnrR,M00207,0.0013687207475773094,0.05805647264091211,0.0625,0.07894736842105263,0.06976744186046512,3.0,38.0,48.0,KEGG modules,,
57,NnrR,M00167,0.002126207901130425,0.07512601250660834,0.041666666666666664,0.16666666666666666,0.06666666666666667,2.0,12.0,48.0,KEGG modules,,"Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P"
58,NnrR,M00254,0.0025034430964216686,0.07960949046620906,0.041666666666666664,0.15384615384615385,0.06557377049180328,2.0,13.0,48.0,KEGG modules,,
59,NnrR,M00004,0.0033450063733982626,0.09670109334005887,0.041666666666666664,0.13333333333333333,0.06349206349206349,2.0,15.0,48.0,KEGG modules,,Pentose phosphate pathway (Pentose phosphate cycle)
60,T6SS,M00334,3.685328294354447e-05,0.01171934397604714,0.06976744186046512,0.23076923076923078,0.10714285714285714,3.0,13.0,43.0,KEGG modules,,
61,Sulfur-1,M00436,8.935983300167109e-19,2.8416426894531406e-16,0.23076923076923078,0.6428571428571429,0.339622641509434,9.0,14.0,39.0,KEGG modules,,
62,Sulfur-1,M00185,4.339612128445402e-10,6.89998328422819e-08,0.10256410256410256,1.0,0.18604651162790695,4.0,4.0,39.0,KEGG modules,,
63,Sulfur-1,M00176,6.4650944001874406e-09,6.853000064198688e-07,0.10256410256410256,0.6666666666666666,0.17777777777777778,4.0,6.0,39.0,KEGG modules,,"Assimilatory sulfate reduction, sulfate => H2S"
64,Sulfur-1,M00238,9.897931996295889e-08,7.868855937055232e-06,0.07692307692307693,1.0,0.14285714285714288,3.0,3.0,39.0,KEGG modules,,
65,Sulfur-1,M00188,2.0931655522474796e-07,1.331253291229397e-05,0.15384615384615385,0.10714285714285714,0.12631578947368421,6.0,56.0,39.0,KEGG modules,,
66,Sulfur-1,M00239,0.0006091204303760478,0.03228338280993054,0.10256410256410256,0.04819277108433735,0.06557377049180327,4.0,83.0,39.0,KEGG modules,,
68,Bacterial_chemotaxis,M00506,2.3709946101884208e-08,3.7698814301995888e-06,0.03680981595092025,0.5454545454545454,0.06896551724137931,6.0,11.0,163.0,KEGG modules,,
69,BioR,M00123,8.278723167639232e-10,8.775446557697587e-08,0.12903225806451613,0.8,0.2222222222222222,4.0,5.0,31.0,KEGG modules,,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"
70,BioR,M00573,8.278723167639232e-10,8.775446557697587e-08,0.12903225806451613,0.8,0.2222222222222222,4.0,5.0,31.0,KEGG modules,,"Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin"
71,BioR,M00577,8.278723167639232e-10,8.775446557697587e-08,0.12903225806451613,0.8,0.2222222222222222,4.0,5.0,31.0,KEGG modules,,"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin"
