,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,label_ch1,taxid_ch1,scan_protocol,description,data_processing,platform_id,supplementary_file,data_row_count,characteristics_ch1.1,characteristics_ch1.2,supplementary_file.1,Genotype:ch1,Growth condition:ch1,Medium:ch1,characteristics_ch1.3,treatment_protocol_ch1,Time:ch1,description.1,contact_laboratory,genotype:ch1,growth condition:ch1,medium:ch1,time:ch1,growth medium:ch1,strain:ch1,treatment group:ch1,characteristics_ch1.4,genotype/variation:ch1,phase:ch1,treatment:ch1,host plant:ch1,infected with:ch1,time point:ch1,tissue:ch1,contact_web_link,Induction time:ch1
GSM210282,110spc4 aerobic PSY 14,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain grown aerobically,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain grown aerobically,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210282/suppl/GSM210282.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210282/suppl/GSM210282.CHP.gz,110spc4,aerobic,PSY,,no treatment was applied,,,,,,,,,,,,,,,,,,,,
GSM210283,110spc4 aerobic PSY 15,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,B. japonicum wild-type strain grown aerobically,Bradyrhizobium japonicum,Genotype: 110spc4,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,375,standard Affymetrix procedures,Gene expression data from B. japonicum wild-type strain grown aerobically,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210283/suppl/GSM210283.CEL.gz,18968,Growth condition: aerobic,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210283/suppl/GSM210283.CHP.gz,110spc4,aerobic,PSY,,no treatment was applied,,,,,,,,,,,,,,,,,,,,
GSM210284,soybean root control 1,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,Soybean root RNA extract w/o bacteria,Glycine max,Medium: soybean,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,3847,standard Affymetrix procedures,Gene expression data from Glycine max roots,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210284/suppl/GSM210284.CEL.gz,18968,Time: 21 Days,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210284/suppl/GSM210284.CHP.gz,,,soybean,,no treatment was applied,21 Days,,,,,,,,,,,,,,,,,,,
GSM210285,soybean root control 2,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,Soybean root RNA extract w/o bacteria,Glycine max,Medium: soybean,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,3847,standard Affymetrix procedures,Gene expression data from Glycine max roots,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210285/suppl/GSM210285.CEL.gz,18968,Time: 21 Days,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210285/suppl/GSM210285.CHP.gz,,,soybean,,no treatment was applied,21 Days,,,,,,,,,,,,,,,,,,,
GSM210286,soybean root control 3,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011,RNA,1,Soybean root RNA extract w/o bacteria,Glycine max,Medium: soybean,cells were grown until OD600 0.4-0.5 in PSY medium or as soybean bacteroids,total RNA,biotin,3847,standard Affymetrix procedures,Gene expression data from Glycine max roots,"GeneChip Operating Software (GCOS) version 1.1 (Affymetrix), global scaling to a target intensity of 500",GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210286/suppl/GSM210286.CEL.gz,18968,Time: 21 Days,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM210nnn/GSM210286/suppl/GSM210286.CHP.gz,,,soybean,,no treatment was applied,21 Days,,,,,,,,,,,,,,,,,,,
GSM313721,7360 microaerobiosis PSY 1,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixJ mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 7360,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixJ mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313721/suppl/GSM313721.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313721/suppl/GSM313721.CHP.gz,7360,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313722,7360 microaerobiosis PSY 2,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixJ mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 7360,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixJ mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313722/suppl/GSM313722.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313722/suppl/GSM313722.CHP.gz,7360,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313723,7360 microaerobiosis PSY 3,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixJ mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 7360,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixJ mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313723/suppl/GSM313723.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313723/suppl/GSM313723.CHP.gz,7360,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313724,7360 microaerobiosis PSY 4,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixJ mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 7360,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixJ mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313724/suppl/GSM313724.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313724/suppl/GSM313724.CHP.gz,7360,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313725,7360 microaerobiosis PSY 5,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixJ mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 7360,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixJ mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313725/suppl/GSM313725.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313725/suppl/GSM313725.CHP.gz,7360,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313726,7360 microaerobiosis PSY 6,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixJ mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 7360,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixJ mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313726/suppl/GSM313726.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313726/suppl/GSM313726.CHP.gz,7360,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313727,9043 microaerobiosis PSY 1,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK2 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 9043,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK2 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313727/suppl/GSM313727.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313727/suppl/GSM313727.CHP.gz,9043,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313728,9043 microaerobiosis PSY 2,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK2 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 9043,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK2 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313728/suppl/GSM313728.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313728/suppl/GSM313728.CHP.gz,9043,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313729,9043 microaerobiosis PSY 3,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK2 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 9043,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK2 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313729/suppl/GSM313729.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313729/suppl/GSM313729.CHP.gz,9043,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313730,9043 microaerobiosis PSY 4,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK2 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 9043,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK2 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313730/suppl/GSM313730.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313730/suppl/GSM313730.CHP.gz,9043,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313731,9043 microaerobiosis PSY 5,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK2 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 9043,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK2 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313731/suppl/GSM313731.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313731/suppl/GSM313731.CHP.gz,9043,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313732,9043 microaerobiosis PSY 6,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK2 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 9043,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK2 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313732/suppl/GSM313732.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313732/suppl/GSM313732.CHP.gz,9043,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313733,9043 microaerobiosis PSY 7,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK2 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 9043,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK2 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313733/suppl/GSM313733.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313733/suppl/GSM313733.CHP.gz,9043,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313734,9043 microaerobiosis PSY 8,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK2 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype: 9043,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK2 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313734/suppl/GSM313734.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313734/suppl/GSM313734.CHP.gz,9043,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313735,7454 microaerobiosis PSY 1,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK1 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype:7454,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK1 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313735/suppl/GSM313735.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313735/suppl/GSM313735.CHP.gz,7454,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313736,7454 microaerobiosis PSY 2,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK1 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype:7454,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK1 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313736/suppl/GSM313736.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313736/suppl/GSM313736.CHP.gz,7454,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313737,7454 microaerobiosis PSY 3,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK1 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype:7454,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK1 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313737/suppl/GSM313737.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313737/suppl/GSM313737.CHP.gz,7454,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313738,7454 microaerobiosis PSY 4,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK1 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype:7454,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK1 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313738/suppl/GSM313738.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313738/suppl/GSM313738.CHP.gz,7454,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313739,7454 microaerobiosis PSY 5,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK1 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype:7454,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK1 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313739/suppl/GSM313739.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313739/suppl/GSM313739.CHP.gz,7454,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313740,7454 microaerobiosis PSY 6,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum fixK1 mutant grown microaerobically,Bradyrhizobium japonicum,Genotype:7454,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum fixK1 mutant grown microaerobically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313740/suppl/GSM313740.CEL.gz,18968,Growth condition: microaerobiosis,Medium: PSY,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313740/suppl/GSM313740.CHP.gz,7454,microaerobiosis,PSY,,,,,,,,,,,,,,,,,,,,,,
GSM313741,110spc4 anoxic YEM 1,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum wild-type strain grown anoxically,Bradyrhizobium japonicum,Genotype: 110spc4,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum wild-type strain grown anoxically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313741/suppl/GSM313741.CEL.gz,18968,Growth condition: anoxic,Medium: YEM,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313741/suppl/GSM313741.CHP.gz,110spc4,anoxic,YEM,,,,,,,,,,,,,,,,,,,,,,
GSM313742,110spc4 anoxic YEM 2,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum wild-type strain grown anoxically,Bradyrhizobium japonicum,Genotype: 110spc4,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum wild-type strain grown anoxically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313742/suppl/GSM313742.CEL.gz,18968,Growth condition: anoxic,Medium: YEM,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313742/suppl/GSM313742.CHP.gz,110spc4,anoxic,YEM,,,,,,,,,,,,,,,,,,,,,,
GSM313743,110spc4 anoxic YEM 3,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum wild-type strain grown anoxically,Bradyrhizobium japonicum,Genotype: 110spc4,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum wild-type strain grown anoxically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313743/suppl/GSM313743.CEL.gz,18968,Growth condition: anoxic,Medium: YEM,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313743/suppl/GSM313743.CHP.gz,110spc4,anoxic,YEM,,,,,,,,,,,,,,,,,,,,,,
GSM313744,110spc4 anoxic YEM 4,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008,RNA,1,B. japonicum wild-type strain grown anoxically,Bradyrhizobium japonicum,Genotype: 110spc4,Cells were grown to mid-exponential phase which corresponded to an OD600 of 0.4 to 0.5 in microoxic cultures (PSY-arabinose medium) and a OD600 of 0.175 to 0.225 in anoxic cultures (YEM-nitrate medium); soybean nodules were harvested 21 days post inoculation (dpi),total RNA,biotin,375,Standard Affymetrix procedures,B. japonicum wild-type strain grown anoxically,GeneChip Operating Software (GCOS) version 1.2 (Affymetrix),GPL3401,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313744/suppl/GSM313744.CEL.gz,18968,Growth condition: anoxic,Medium: YEM,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM313nnn/GSM313744/suppl/GSM313744.CHP.gz,110spc4,anoxic,YEM,,,,,,,,,,,,,,,,,,,,,,
